FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
IRQ,198,74.52517,60.79899676,0.01609,-18,321.6,155.820741,38.74742236,2.00E-05,-4.2,244.1656725,-0.173551365,42.03472475,0,-7.663402999,0.55552881,21.57707303,0.64647,321.5,3.983295,70.30960901,1.00E-05,14.3183802,0.013159306,0.000168168,1.14E-06,9.5
ZIM,372,104.8245,113.4710244,0.00032,NA,616.3,136.447418,59.16141314,0,3.5,430.0627584,0.059031447,40.88348081,0,50.10044292,0.709087649,26.04377371,0.02941,430,2.60227,52.10293044,0,4.372954076,0.000248063,1.80E-24,1.00E-24,22.3
THA,352,36.44442,44.059048,0,9,464.3,158.358482,55.59915967,0,16.375,233.9278979,-0.157779062,47.74708373,0,105.6445503,0.551280317,23.89087479,1.00E-05,248,6.03477,76.72671048,8.00E-05,6.644577223,3.13E-06,2.34E-07,0.000324959,18.9
ZAM,480,162.06423,111.1983983,6.00E-05,-19,597.8,265.288549,54.73167873,0,3.6,438.895814,-0.0086752,31.34938246,0,-42.34482292,1.427832738,27.12217603,0.94674,485.5,1.94491,30.92289492,0,7.865011038,0.000104403,3.03E-30,2.91E-30,8.8
JOR,345,139.74059,104.304473,0.00871,23,444.9,223.67514,56.79852682,8.00E-05,12.8,212.159127,-0.042551123,43.56235031,0,51.59586346,0.707509895,23.48306585,0.01495,252.5,-4.91994,65.15826356,0,14.05077681,0.008279324,0.000242646,7.22E-06,10.6
NZL,481,159.29207,105.6304105,1.00E-05,41,373.1,200.818633,53.5776285,0.00026,22.5,190.8416003,-0.065251841,44.73361583,3.00E-05,10.12611899,0.92816191,25.70673453,0.36045,187.5,-0.10392,68.06376077,0.0013,14.99562072,1.18E-05,0.010372655,0.000278856,11.2
DOM,377,122.12781,85.48635689,0.00034,19,432.9,237.148748,47.27715814,0,5.166666667,192.5962209,-0.173065057,30.35574011,0,2.13572182,0.951330533,21.87355855,0.48322,166,-0.2625,34.13776192,0,8.947731092,0.000242561,1.75E-07,1.62E-05,7.2
NEP,470,206.32868,97.72139924,0,-5,470.5,232.076131,43.71739308,0,7.1,216.1767399,0.153543443,30.09650256,0,17.1749549,0.902111533,20.62557847,0.21617,193,1.42501,41.3020533,0,15.10997294,1.57E-05,1.04E-09,4.24E-06,6
ESA,187,64.49341,64.96521128,0.06481,19,283.4,192.341009,58.09386773,0.05615,13.85714286,16.70788321,0.012817547,45.29941462,0.35629,24.14721176,0.839055531,26.70546609,0.19097,-52.5,-0.70433,57.51172606,0.8115,14.22162162,0.063807737,0.181714048,0.778726999,15.4
FIN,370,189.30192,90.36868498,0.00346,-1,411,235.045455,41.96542078,2.00E-05,-1.9,310.0973805,0.000892755,40.93063701,0,-35.04189717,1.381972088,29.65968646,0.88939,370,1.53731,46.67242385,0,17.64517007,0.003369984,1.26E-06,1.51E-08,4.5
TUN,615,105.76111,78.04480445,0,22,671.3,233.260294,58.30687052,0,21.44444444,346.6260504,-0.212661915,48.62908372,0,99.90983997,0.871232131,26.61022628,1.00E-04,422.5,7.736725,70.83718211,0,15.80204082,6.91E-11,2.39E-09,5.86E-08,9.3
ANG,303,118.74611,87.82212312,0.00896,-8,411.8,196.828897,58.95629578,2.00E-05,8.5,306.4068323,-0.186451925,40.75670669,0,-38.70430936,1.062677459,28.41877887,0.91949,307.5,-1.589465,46.73712329,0,7.397515528,0.007289549,1.27E-07,1.89E-10,12.5
PAR,377,251.61834,158.1564717,0.27287,6,669.4,358.521087,88.66542483,2.00E-05,16,281.8523526,-0.036801439,52.80305545,0,39.60627494,1.457796199,34.03487114,0.13206,343.5,-4.59832,68.03795484,0,15.08986014,0.248241002,7.21E-08,2.81E-05,9.3
NGR,254,43.21908,41.13418097,0,NA,354.3,113.638083,30.86462123,0,17.66666667,219.3216397,-0.076674551,32.85188263,0,22.22754822,1.286255804,25.84233834,0.21786,219,4.65512,40.75171797,0,4.466709901,1.46E-07,3.59E-10,8.23E-06,12.7
NCA,312,70.62161,62.14212976,0.00031,NA,448.4,196.046046,53.37727903,1.00E-05,19.66666667,227.4405111,0.081112148,45.28358633,0,42.09531922,1.064763363,26.13431109,0.0593,275,3.797585,71.02619091,2.00E-05,11.93647913,0.000185062,6.40E-06,0.000236122,11
IRL,271,140.31541,87.17331178,0.06539,27,322.1,287.171651,61.81832663,0.29065,-0.444444444,89.95454545,0.024189346,41.1513993,0.01413,-31.3733367,1.465411751,28.99358157,0.87073,82.5,0.883995,45.88458374,0.04235,13.4155854,0.060560518,0.77339029,0.000347091,6
GUA,342,106.36776,92.23716687,0.00253,10,367.5,196.62509,64.17847398,0.00329,8.2,152.6358093,-0.084897339,46.28855992,0.00036,37.50499496,1.101600227,29.06879265,0.10681,188,3.53325,62.41858589,0.00261,12.62325512,0.002858831,0.001826157,0.009892278,15.7
PUR,246,98.4504,72.3759239,0.02481,11,239.9,201.607104,57.3854287,0.24862,8.2,108.9400286,-0.095446126,47.13715448,0.01057,-23.38542581,1.320255222,29.64696257,0.79603,199,-0.0881,59.68403223,9.00E-05,10.87351832,0.024884628,0.673764892,0.052242678,11.4
WLS,402,146.45165,103.160438,0.002,18,327.2,219.502953,52.27814509,0.01146,5.3,155.1582268,-0.236662319,46.70141578,0.00046,-31.6845377,1.462709749,30.278347,0.86125,145.5,-5.46177,71.79792155,0.02077,13.95558692,0.001683409,0.34439619,0.001111654,10.7
TJK,565,147.52642,248.4667498,0.00072,15,502.9,162.282865,85.03881695,0,13.2,359.4723854,0.139322391,68.36524133,0,48.508417,1.095519185,40.53522428,0.12123,443,0.210695,94.73886407,0,13.86011286,0.000589582,2.65E-07,0.01780685,28.7
JAM,209,64.00544,64.1865722,0.04951,-16,333.1,216.049491,62.24739474,0.03325,13.6,112.5098935,0.035880042,55.51877714,0.02147,15.97223831,1.065737619,30.59814977,0.3108,131.5,-1.124775,72.00401193,0.04699,3.577245053,0.049389816,0.008665546,0.021637087,14.1
MNE,332,100.66928,71.93223898,0.00118,3,462.1,224.188889,53.07464083,0,9,322.0462963,0.125579974,51.85096073,0,-56.60995631,2.491832046,41.09368648,0.92507,267,-1.739555,54.8186171,1.00E-05,20.37566138,0.00141598,1.59E-06,0.000331643,8.7
URU,367,171.33778,110.1783345,0.03008,17,498.3,321.297615,67.51763535,0.00404,14.33333333,171.610299,0.06447664,47.81075754,0.00014,7.190647559,1.642587993,31.30779744,0.43021,117.5,-9.51183,59.02106997,0.00788,15.12989242,0.029757794,0.01342857,0.000317376,6.4
PAN,415,167.75574,119.6787365,0.01079,0,589.8,264.27564,69.48190954,0,1.375,335.5249214,-0.168551648,54.10136732,0,38.04393024,1.351793437,31.67685819,0.12414,452.5,11.462365,81.09651205,0,11.67247821,0.0105124,7.03E-08,1.52E-05,11.5
TTO,284,90.55419,84.01982078,0.023,NA,431.5,224.222821,66.26473728,0.00074,7.571428571,230.9839572,0.228448841,57.76971,3.00E-05,23.73505005,1.151397482,31.09174181,0.23323,296,0.98414,95.71724666,2.00E-04,17.09149217,0.019114319,0.007150049,0.005150237,15
ISL,492,157.67254,103.8670858,0.00023,-17,520.9,340.532972,70.6458228,0.00736,8.3,130.4522765,0.218687804,62.13528468,0.01826,19.62383027,1.759142279,37.47231645,0.31577,56,-0.87792,79.14550964,0.23475,16.9383351,0.00033558,0.160423513,0.188907816,5.2
HON,422,99.79164,83.41320535,1.00E-04,-10,504.7,225.176932,63.91240671,0,12,224.347619,-0.089075205,51.59565862,0,62.10687163,1.399162168,30.83744175,0.02514,221,6.15654,64.1563265,0.00018,10.53897123,0.000110696,0.000150244,0.0741615,13.2
MYA,295,223.5345,100.9952919,0.19401,8,309.5,276.043191,45.26281298,0.23463,17,166.9311358,0.023235904,37.60506546,2.00E-05,-76.72078798,2.017007728,31.0907826,0.99185,252.5,2.89111,40.00473794,0,17.8760607,0.194709826,0.280380071,0.015793158,4
SCO,185,188.22699,104.4987215,0.5454,-9,427.2,284.50929,58.59451957,0.0073,-0.222222222,166.6162154,-0.009036354,49.87894702,0.00032,-37.12453574,1.864517799,33.84978869,0.87298,111,-4.684305,56.6350753,0.02146,11.69382716,0.544748319,0.02151498,0.035893795,6.5
MAR,533,221.00508,137.5392604,0.00029,NA,509.3,261.847993,59.785308,0,9.8,317.8895187,0.203969529,50.02108488,0,-22.70516141,1.687848302,33.80383631,0.7642,435,3.83267,65.81877977,0,15.69924812,0.000225545,2.70E-05,0,9
UGA,498,108.79598,89.51242414,1.00E-05,15,624.1,262.047207,66.3882077,0,7.625,321.0660714,0.382923774,51.8101327,0,61.23865739,1.770234511,35.04474426,0.04477,325.5,7.940905,56.42129802,0,4.503536068,1.04E-05,1.15E-09,0.118110236,11.8
