FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,208,110.800689,53.69050699,0.009908,4,229.1,119.202223,23.2652894,0,1.7,38.877403,-7.22E-05,2.990002517,0,11.929348,0.00931102,2.124584261,0,46,-0.067727,4.055864732,0,15.451372,0.009206326,9.48E-09,8.78E-12,6.8
RUS,205,48.352454,42.49899288,0.000358,15,254.3,116.912453,33.49923919,1.60E-05,2.1,53.66727,-0.023146377,10.40483963,0,30.119626,0.068351505,7.02517254,5.00E-06,54.5,0.9899595,14.94044239,7.30E-05,13.0777,0.000370352,1.93E-05,5.58E-06,12.5
GER,193,88.067904,57.46852003,0.044114,9,285.3,173.998513,32.16010892,7.10E-05,-6.3,95.608344,5.52E-05,9.527685567,0,27.986604,0.080358049,5.923990743,1.00E-06,100.5,0.2975095,14.09117422,0,12.284236,0.04400445,0.000904651,2.27E-13,5.1
FRA,337,227.606104,105.0042301,0.104307,-4,328.2,254.780431,45.16235326,0.044611,-3.5,46.613046,0.008721088,12.21677326,4.60E-05,26.028172,0.223697355,9.371008141,0.002494,54.5,-0.499646,17.16625943,0.000345,16.426901,0.09980569,0.02779511,1.83E-05,4.5
ESP,299,199.301415,84.25480575,0.098203,1,361.3,272.04823,43.09232428,0.01605,-1.1,29.546462,0.00161902,13.05647417,0.010834,25.764804,0.206228322,9.417512663,0.002726,24,-1.543697,18.77491681,0.080343,16.900645,0.09568555,0.008983603,0.007000086,2.6
POL,348,136.325139,84.12439274,0.000696,-11,302.6,171.286233,44.22142857,0.000933,5.2,43.763288,-0.004587846,16.27555403,0.003038,45.743471,0.231108655,11.44959668,4.20E-05,26.5,-1.0726105,23.55883813,0.135655,11.831153,0.000621232,0.002854426,1.92E-05,10.6
IND,183,112.595525,75.70526762,0.167499,18,257.8,178.209803,45.04113244,0.036692,1.8,-35.523098,0.011181537,19.87023939,0.961204,29.638666,0.34843173,14.39964934,0.02233,-86,-1.0157685,23.49094157,0.999307,6.386543,0.1667692,0.1105755,0.3867659,10
CZE,419,211.709799,99.2398457,0.00548,1,384.8,291.960224,45.92438584,0.015135,5.8,27.71198,-0.008476451,16.23804209,0.04257,10.948387,0.331561041,11.7620593,0.184595,30.5,-0.1808795,21.43383932,0.07258,16.389815,0.005468334,0.1313501,0.1055941,3.6
HUN,333,189.956651,98.86082415,0.064946,-16,320.3,262.089873,47.53662433,0.105362,-4.7,33.023274,0.001262311,19.57617493,0.044591,8.455694,0.389668294,13.31724431,0.274661,27,-1.159425,27.81709823,0.164064,18.498475,0.0649428,0.1844115,0.07493954,5.2
USA,400,185.901046,104.4916665,0.010819,-9,366,285.666092,56.78968019,0.076821,4,63.208374,-0.018072717,21.55709733,0.001233,14.606414,0.521353126,16.20465886,0.193734,114,-0.629376,29.24245253,4.40E-05,13.768843,0.00999091,0.3394509,0.004534781,5.6
CHN,137,50.986447,70.30045669,0.088691,2,224.5,104.110379,50.56427023,0.004218,4.9,14.166846,-0.006730076,32.61665299,0.333724,43.368308,0.252248424,17.83016326,0.0085,-37,1.586637,43.7398954,0.823167,-1.913849,0.08850941,0.003500732,0.3722825,25.9
SRB,256,120.318022,70.01298398,0.018644,-24,271.2,209.825181,38.38633202,0.050344,0.2,63.898538,-0.013262755,19.03116141,0.000369,-3.001765,0.306870915,11.75070312,0.611689,64.5,1.064783,26.67896683,0.007602,18.965575,0.01847722,0.1825392,0.02311499,4.6
UKR,131,47.71673,43.20998065,0.035798,23,271.6,157.577947,41.84713621,0.003776,4.7,94.795608,0.024149781,26.30276778,0.000101,25.738295,0.353727422,14.91906614,0.045051,130.5,0.525076,40.58024527,0.000541,12.972511,0.03570151,0.00033954,0.01975983,9.8
CUB,264,74.03485,65.30777888,0.000124,6,316.1,112.245914,40.78913677,0,2.3,121.879393,0.028206154,23.52007971,0,40.145141,0.305491993,14.39555056,0.002831,90,-0.430236,29.04419374,0.000284,12.511485,0.000120514,2.69E-06,4.66E-05,15.9
GRE,220,121.628433,90.89101267,0.15297,24,388.9,261.152276,53.64477956,0.004681,2.1,90.326917,-0.017656567,22.81615778,1.50E-05,34.786739,0.528427145,16.35794352,0.016366,114,-0.423921,32.20960246,0.000158,9.610041,0.1398063,0.001671476,2.01E-05,7.8
TUR,169,133.753776,100.3161855,0.386678,-11,365.1,259.983757,59.36248956,0.038146,5.4,29.568463,0.050687046,23.00875518,0.097788,39.002728,0.747377574,19.11190786,0.022976,24,1.1928425,28.02758531,0.240381,6.564482,0.3542957,0.0127267,0.0508337,8.2
