metric,juniors,rating_floor,fed,yP,yPEA,E,A,weights
mean,FALSE,1000,ARG,-57.92319689221206,105.76957860798613,-87.43249375992738,9.649421375085097,4.108886267887123e-4
mean,FALSE,1000,AUT,146.52325688066145,225.78458129053342,-42.0500965717045,12.050096571704493,0.0014075504002956174
mean,FALSE,1000,BAN,214.98425644676115,217.9532376484161,-1.5218965864127085,1.8271745691100563,5.233539537721423e-4
mean,FALSE,1000,BEL,175.04648356173033,198.35742929099936,-12.24195031344324,6.7774413745066155,7.448830695010103e-4
mean,FALSE,1000,BRA,162.80040376469694,192.41285800405996,-15.34890060470201,13.840203689097372,0.0014114933102365383
mean,FALSE,1000,BUL,-31.08462376068664,87.40806187643973,-63.34437751004015,5.578514056224897,2.5772612876202985e-4
mean,FALSE,1000,CHI,107.95413973830838,115.19943975578173,-3.6584586466165376,5.8929511278195434,3.659239588565009e-4
mean,FALSE,1000,CHN,61.4511786606123,108.54338745077666,-25.247879973907345,0.3272450532724527,3.3252481021751575e-4
mean,FALSE,1000,COL,82.56158111008929,178.4057305421102,-50.937161246612476,12.258468834688344,9.790815781749816e-4
mean,FALSE,1000,CRO,102.31381721204359,175.13468278569667,-38.46114130434782,15.520652173913042,0.0010421697065686735
mean,FALSE,1000,CUB,78.67797559618604,201.80924000830274,-65.59629440761518,11.685534591194966,0.0010180747649790195
mean,FALSE,1000,CZE,57.961414808291735,112.40388376900138,-28.716648262081293,12.579192301624865,0.0022504835886142283
mean,FALSE,1000,DEN,48.27475171384003,145.5350615894115,-51.69820613176779,12.222070015220702,4.60474623428072e-4
mean,FALSE,1000,EGY,130.5630247952293,178.2655398718929,-24.924132730015074,17.158974358974362,3.521939614519946e-4
mean,FALSE,1000,ENG,94.93886011214028,110.23608003483625,-7.920250626566414,7.374323308270675,6.870970102726725e-4
mean,FALSE,1000,ESP,159.73902965449403,164.0248206666501,-1.9658213686369521,8.610846650799047,0.0036864567918973717
mean,FALSE,1000,FRA,162.96703404909522,196.81451541810495,-17.90337873232518,6.530093163775021,0.0059301714884339605
mean,FALSE,1000,GEO,-167.37485588640138,-84.41703214407573,-44.24095238095239,6.672380952380948,2.1587014562296446e-4
mean,FALSE,1000,GER,151.59611497231424,169.68249107354265,-9.46733750112223,6.056802525535048,0.007128683466625835
mean,FALSE,1000,GRE,134.87873319929201,128.54963118902242,3.7620141144841455,9.48831794395814,0.0012797906175317172
mean,FALSE,1000,HUN,31.225076748856143,74.85075755298146,-22.83207968569147,14.70873966841102,0.0013065750550374014
mean,FALSE,1000,IND,-90.56220698778448,49.83058459237746,-75.00235580491103,7.888717252423312,0.0021187101639482363
mean,FALSE,1000,IRI,142.61409453270113,140.45308107773354,1.4970521935148255,8.734141515111329,0.0019236188911298314
mean,FALSE,1000,ISR,6.321912404564975,124.99837050655145,-63.41050678644663,6.417293233082702,3.6102969728781664e-4
mean,FALSE,1000,ITA,149.46343847604533,212.01735543833377,-33.175871055464285,9.782323947651697,0.001128984432463776
mean,FALSE,1000,KAZ,11.954600377356668,87.87794597597829,-40.56247862273402,4.220157336677687,3.5164725924396274e-4
mean,FALSE,1000,KOR,372.57758397381883,309.04502136405864,33.68641439205955,-10.154776674937967,2.2264141505935346e-4
mean,FALSE,1000,LAT,4.660914001369787,-43.19611195916394,25.66808914177335,-0.06985933301722724,2.511216922681952e-4
mean,FALSE,1000,LTU,27.8778266843611,52.95062500209059,-13.172279333569662,7.158454448777029,2.985660001489049e-4
mean,FALSE,1000,MEX,184.15034174077826,237.6661269645452,-28.218099547511308,12.617194570135748,8.91531155968105e-4
mean,FALSE,1000,NED,133.57940120297232,152.40907176077545,-9.716386791879145,9.925537090286767,0.0013369886295648559
mean,FALSE,1000,NOR,63.199849353223414,179.88540803104203,-62.18176618622741,10.57431556470678,4.6335391062404476e-4
mean,FALSE,1000,PHI,178.27928664611028,194.7137748916178,-8.240824534942178,14.85708898944193,3.3239293282296117e-4
mean,FALSE,1000,POL,45.99924415047077,67.2723688550755,-11.049066087850576,9.35692908983593,0.0018126113812423758
mean,FALSE,1000,ROU,-107.38765059603766,-7.6474887907027105,-53.2146931325576,7.406652325543497,5.368302467996597e-4
mean,FALSE,1000,RUS,109.28755387259395,150.11128377637633,-21.58756540739462,8.02720372606521,0.003951447067577495
mean,FALSE,1000,SLO,-49.052047829302914,145.06319000383448,-103.65757575757577,12.071780303030302,3.925348758058612e-4
mean,FALSE,1000,SRB,69.19230721092933,172.61817861448915,-54.83291245791247,16.68223905723906,0.001903602662989159
mean,FALSE,1000,SRI,108.49979043239023,46.96648725037267,33.19975199779554,4.987186552769359,0.0010425190137247073
mean,FALSE,1000,SUI,166.09749527499358,253.8123616123543,-46.87271241830065,4.602941176470587,5.88512799553987e-4
mean,FALSE,1000,SVK,49.41424116267317,72.5213700564777,-11.840863559679462,14.319524989455928,9.333416597277899e-4
mean,FALSE,1000,SWE,178.5434607536033,200.56404082464294,-11.565853384844743,6.362209647168214,6.321314660493607e-4
mean,FALSE,1000,TUR,61.89697182811492,58.01289305664355,2.387816773934034,7.868206958970237,0.001145233949994841
mean,FALSE,1000,UKR,74.7468792098435,159.25096661909427,-44.80221434106217,13.604518090242593,6.739897409557355e-4
mean,FALSE,1000,USA,42.818475446958026,173.0904726950035,-69.65471204188484,5.789397905759159,4.7848180127136995e-4
mean,FALSE,1000,VIE,88.52294717868674,99.68321120626642,-5.7451807228915754,6.236445783132531,2.0983071269610804e-4
mean,FALSE,1400,ARG,-107.24965340090333,31.91957712653349,-111.90371884735202,11.528913551401871,4.5782264914439e-4
mean,FALSE,1400,AUT,97.52227241264859,146.9933981620397,-51.7307731257776,13.608612308671624,0.0014694232551377754
mean,FALSE,1400,BEL,88.11426627677113,113.42625190259213,-30.01924423738619,9.788572211564812,7.594686839465061e-4
mean,FALSE,1400,BRA,117.35976335110198,131.55967569931022,-27.24721706864564,13.772096474953614,0.001538151663611393
mean,FALSE,1400,BUL,20.038499593667918,90.23492115726098,-55.948425624321374,5.4209554831704665,3.319519265527403e-4
mean,FALSE,1400,CHN,52.96242597558827,91.15159975425453,-27.042825361512797,0.24771968854282633,3.4428036287199035e-4
mean,FALSE,1400,COL,45.30005906195728,107.69176527043524,-59.631105006105,12.698489010989007,0.0010973567855141102
mean,FALSE,1400,CRO,54.81731125315004,93.35111061902408,-46.33942877046326,15.410549460118425,0.0010579782699519519
mean,FALSE,1400,CUB,80.2404154426206,152.69384419806738,-65.38310830955322,11.671238127688575,0.001035562933075251
mean,FALSE,1400,CZE,21.92329935632909,45.997516150661795,-34.24277309816331,13.83876078121122,0.00250920565797962
mean,FALSE,1400,ENG,50.3850008496147,56.76518042660827,-15.312252657717082,8.630651043687436,7.694692525055714e-4
mean,FALSE,1400,ESP,19.345583027635495,25.588841528510372,-19.50247392194622,12.041176649916416,0.0034385432533259345
mean,FALSE,1400,FRA,60.21644815813554,89.42792346872776,-36.43804658366322,12.724201169966399,0.00549586258498792
mean,FALSE,1400,GEO,-72.289427605,-49.29633928488732,-23.2421875,5.6875,2.791392382795368e-4
mean,FALSE,1400,GER,116.79478754032522,120.74710119237304,-11.763734902782758,7.159300991070204,0.007657613243351641
mean,FALSE,1400,GRE,87.63389237465672,81.89035810010397,-7.963440746981178,9.535786998034258,0.0014040040365238904
mean,FALSE,1400,HUN,8.13451136483304,19.842793490523658,-27.484491517112886,15.34871040502108,0.0015404887021435582
