FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,208,103.83271,53.39094636,0.00416,4,229.1,110.21205,22.96218772,0,1.7,78.406423,0.000923035,2.910173137,0,10.7571837,0.005863281,1.862705544,0,100,-0.1558855,4.273214761,0,15.8413803,0.003878225,3.27E-11,2.80E-16,6.8
RUS,205,42.84124,39.96749411,0.000116,15,254.3,105.716257,32.59632539,5.00E-06,2.1,85.469419,0.001770863,10.23974666,0,27.8300538,0.061343122,6.35375675,6.00E-06,103,-0.1763895,16.06090005,0,11.5914955,0.000114792,9.58E-07,4.02E-08,14.2
GER,193,77.572183,53.40234359,0.021761,9,285.3,158.487595,31.56370731,5.00E-06,-6.3,142.328193,-0.018151369,9.520884794,0,20.6812984,0.056426388,5.6159642,0.00012,171,-0.037364,13.43232695,0,12.2658464,0.02164229,2.91E-05,2.16E-19,6.2
FRA,337,210.523786,105.6321761,0.061414,-4,328.2,232.509392,44.25118414,0.010099,-3.5,76.820215,0.021628062,11.01076622,0,29.4945342,0.117307687,7.650378816,3.70E-05,87,-0.060105,16.1648959,0,15.0534059,0.05792276,0.003047434,1.27E-08,5.5
ESP,299,187.008438,82.82890344,0.062599,1,361.3,253.666096,41.93739088,0.003694,-1.1,68.425835,-0.005780746,12.46746578,0,14.7047358,0.121500081,8.112213002,0.035331,56.5,-0.140411,17.96837455,0.000729,17.7728779,0.06085242,0.001050689,0.000162633,3.1
POL,348,133.216519,84.02481034,0.000513,-11,302.6,166.301952,44.01681399,0.000536,5.2,44.724762,0.002349903,16.22910637,0.002604,39.298049,0.155144315,10.61024907,9.30E-05,33,0.669318,23.87964482,0.093016,12.9196935,0.000447656,0.00167792,7.72E-06,11.1
IND,183,120.612447,77.56329827,0.204911,18,257.8,191.755153,46.95929038,0.079093,1.8,-49.363297,0.008934014,16.5171889,0.998283,-2.8198587,0.302187768,14.04395203,0.5853,-56.5,0.443476,17.93941535,0.997915,8.5416501,0.2043986,0.216323,0.6566471,8.9
CZE,419,198.838879,96.99578547,0.002386,1,384.8,275.269264,45.46796514,0.00445,5.8,74.621893,-0.004211085,16.60927806,4.00E-06,-6.2728823,0.236225188,10.86320903,0.727108,63.5,0.4992395,21.49271442,0.00274,17.4245093,0.002322577,0.04619802,0.01254998,4.2
USA,400,166.120058,100.6953519,0.003517,-9,366,255.086407,54.36993206,0.018672,4,125.48707,-0.027156029,20.56428528,0,5.1347802,0.340102365,14.28357561,0.370168,140,-1.219889,29.23715633,0,14.3803591,0.003219932,0.1176676,1.65E-05,7
IRI,203,218.891987,119.5514113,0.64446,-3,296.3,312.608553,62.58449396,0.611896,1.6,47.308102,0.030352043,17.36096006,0.002386,-10.1298521,0.483792974,15.23305669,0.757162,79,-1.334725,20.05302645,1.30E-05,11.2734486,0.5685616,0.7375128,0.1386928,6.1
TUR,169,127.53267,98.69005481,0.360799,-11,365.1,249.980972,59.01324968,0.025689,5.4,31.330315,-0.001399404,19.30115058,0.050113,29.4814529,0.445146752,16.04619673,0.03488,17,-1.781763,23.85649771,0.234484,7.7993613,0.3292293,0.007650373,0.02789968,8.8
HUN,333,182.005435,97.41517891,0.049859,-16,320.3,251.534774,47.12998539,0.065666,-4.7,58.792384,-0.008278556,20.26627181,0.001663,3.9907174,0.263462763,12.60381307,0.385402,65,-1.012736,27.85921114,0.009187,18.8084591,0.04989524,0.1102135,0.02183281,5.7
UKR,131,41.569856,39.08778425,0.020381,23,271.6,141.076085,40.58335832,0.000772,4.7,128.203396,0.038347611,25.77178739,0,34.1196109,0.248877352,14.12149462,0.008623,171,-2.5991425,43.73189747,5.00E-06,13.5284269,0.02039892,2.51E-05,0.001068486,11.3
CHN,137,52.589112,70.73940837,0.094792,2,224.5,107.097731,50.94324565,0.00557,4.9,3.087179,0.012948796,31.37564287,0.463079,27.994677,0.254490941,18.49511524,0.068288,-37.5,-2.980481,53.24650379,0.7462,-1.6792777,0.09423145,0.005619044,0.4345999,25.4
GRE,220,105.549076,84.16966047,0.102347,24,388.9,236.093746,53.61433908,0.00066,2.1,104.28823,0.001724914,21.4971114,0,51.197345,0.305457615,13.83934392,6.30E-05,108,-2.9096265,30.9797734,5.00E-05,10.1049022,0.09102108,9.71E-05,8.69E-08,9.4
CUB,264,63.957502,64.78359537,1.10E-05,6,316.1,93.047956,38.0085478,0,2.3,185.756074,0.003201812,24.55510612,0,16.9334417,0.238573487,14.61102037,0.126877,192.5,-1.074577,28.26563499,0,12.9998399,1.86E-05,2.13E-08,5.08E-08,19
BRA,381,112.518725,94.20425506,0.004041,12,488.1,264.366657,54.39192256,0,9.9,149.146964,0.029533255,20.32538908,0,57.3971936,0.340234717,13.97825065,1.40E-05,155,0.3846035,25.41050728,0,14.1413485,0.004128196,5.04E-08,9.76E-13,9
SRB,256,111.152917,67.65106967,0.009682,-24,271.2,196.149929,37.62020237,0.018581,0.2,117.240214,0.020344633,19.73973738,0,-22.7088491,0.303142546,12.47847411,0.967466,128,0.130621,26.1732493,0,21.0190377,0.009734459,0.07375388,0.001225491,5.3
ITA,237,195.780259,96.22559452,0.322653,-7,326.7,294.386861,48.55459875,0.25494,2.5,76.020233,-0.009097101,21.11990002,8.60E-05,-5.8639042,0.370659234,13.98046996,0.673333,96.5,-1.720118,28.41351257,0.000384,18.6776615,0.3125276,0.01944768,0.005794083,3.3
ROU,215,106.318519,71.16641111,0.071388,9,277.2,184.491702,50.36463655,0.036596,2.5,26.911057,-0.006365604,25.74409172,0.147509,13.9912026,0.409437441,16.81395671,0.209604,6,-0.931003,32.15775071,0.441266,14.0852302,0.07126976,0.1991876,0.4052582,10.3
