FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
GEO,167,53.235528,88.12644353,0.026991,1,175.9,86.240524,47.35177276,0.032741,6.8,-72.234375,0.055052605,59.85350057,0.886086,85.0810764,0.494521644,27.02108265,0.001118,-140.5,-3.9341045,98.9613268,0.91683,5.6875,0.02662174,0.1644252,0.9536728,27.3
SRI,333,86.929084,72.32940808,2.60E-05,0,356.5,137.18419,45.06053038,1.00E-06,12.5,132.448027,-0.01449194,29.7711138,0,75.1268603,0.583528481,18.32732491,2.50E-05,118,-1.348957,50.74443004,0.000235,4.2116412,2.81E-05,4.54E-05,0.000644176,17.2
BEL,319,241.569058,115.1824806,0.291891,21,494.6,393.766689,58.49280727,0.038388,7.4,88.127128,0.012861399,36.28649867,0.006377,13.823759,1.257211574,24.28838117,0.307238,98,-1.377504,48.87023223,0.018134,9.7885722,0.2920211,0.07627508,0.02036925,2.5
SWE,222,302.829778,115.4487302,0.771733,-30,402.5,409.261121,60.96069176,0.54468,-0.9,47.867263,-0.031874585,40.77314444,0.120072,-31.0097641,1.270053357,25.77890098,0.893513,71,-0.764796,55.46279753,0.098355,9.5138796,0.7727134,0.7086444,0.01379963,1.7
USA,400,291.380861,134.1593757,0.220317,-9,429.5,467.9627,71.82061765,0.709744,-3.2,2.404175,0.077777908,43.39761057,0.483551,-24.5080602,1.833282269,31.09387707,0.800424,35.5,2.39138,54.94665592,0.265439,8.0890942,0.2141199,0.7823096,0.4464945,2.4
KAZ,141,156.444501,109.0081398,0.636406,7,282.2,276.990688,73.78173621,0.468458,1.2,-69.155666,0.024504344,52.89826688,0.902917,48.4467123,1.239186251,30.15444917,0.060952,-117.5,-6.4225455,80.73195364,0.904144,6.8635864,0.6368714,0.7180153,0.9188761,10.6
LTU,-3,70.15606,80.82836313,0.975432,20,271.4,223.311926,68.71097658,0.244957,1.9,59.364823,0.031710792,51.65641839,0.125515,6.5175013,1.057044388,29.3580763,0.425056,9.5,-11.0021365,82.11668631,0.452451,7.3803379,1,0.1780349,0.2983549,15.8
VIE,347,85.900668,155.7234183,0.00452,-4,251.5,100.859952,70.87697414,0.01256,0.8,79.990347,-0.097672316,58.69182629,0.086497,73.8630362,0.793280041,34.93894581,0.017354,85,-2.666454,67.05477427,0.089324,5.7594595,0.004476014,0.05884706,0.7367985,32.1
ISR,338,186.587466,105.747938,0.099214,26,419.5,385.481629,70.33936468,0.314516,4.9,-3.823142,-0.051019431,48.69847875,0.535099,26.0029,1.515733556,30.10334048,0.209269,-35,4.657629,66.40458431,0.725589,7.4584302,0.09916647,0.3526564,0.6430953,3.3
LAT,338,104.52402,109.8303632,0.012636,0,339.9,199.844229,69.99936561,0.020121,1.2,33.210817,-0.042498655,54.01407904,0.270985,69.3836214,1.079002239,31.50294928,0.01496,-44.5,-3.096236,84.28649148,0.672251,1.2147651,0.01267257,0.1898168,0.5938671,18.6
ARG,296,214.827902,116.1737444,0.244564,-2,406.6,436.916457,75.58714253,0.653467,-2.4,-107.183217,0.06643689,46.73598099,0.987056,46.6392543,1.865082663,31.87313967,0.081747,-167,2.5584005,59.20139499,0.995565,11.5289136,0.2382874,0.9185433,0.9909083,2.4
SLO,330,191.021071,111.0996234,0.108096,11,352.8,303.449477,62.80200629,0.2167,11.3,-42.223924,0.02689063,46.69860106,0.81673,55.8452028,1.511170285,29.07262783,0.030072,-63,4.608305,62.34035409,0.871315,12.9184368,0.1074948,0.6529525,0.7080264,6.5
PHI,388,103.434296,81.46244954,0.00134,11,389.2,235.17652,63.9888072,0.00792,11.2,124.817204,0.020501946,53.1318248,0.008661,56.1460111,1.266004617,30.235092,0.036033,155,-3.579121,81.42715871,0.023118,16.3336362,0.001324155,0.06635708,0.6649837,12.7
SUI,325,242.796878,112.0931366,0.202069,27,395.7,382.087439,56.1892325,0.414945,5.1,69.160769,-0.012791235,42.44644868,0.050774,-47.6651856,1.46154112,26.87958705,0.964097,-38.5,0.641574,64.41191972,0.703058,5.6030557,0.1962162,0.4289278,0.03590795,2.6
BUL,261,224.831893,139.0388769,0.352518,4,328.1,271.431229,68.52595175,0.201898,0.7,20.010749,-0.027750408,54.88610388,0.359823,32.0508591,1.447057215,31.74102029,0.167836,32.5,-5.077938,73.9795414,0.32707,5.4209555,0.3527867,0.3231777,0.1703582,8.9
