FED,MAX1_OBS,MAX1_PTMEAN,MAX1_PTSD,MAX1_PTPVAL,AGEDIFFMAX1,MAX10_OBS,MAX10_PTMEAN,MAX10_PTSD,MAX10_PTPVAL,AGEDIFFMAX10,MEAN_OBS,MEAN_PTMEAN,MEAN_PTSD,MEAN_PTPVAL,SD_OBS,SD_PTMEAN,SD_PTMEAN.1,SD_PTPVAL,MEDIAN_OBS,MEDIAN_PTMEAN,MEDIAN_PTSD,MEDIAN_PTPVAL,AGEDIFFOVERALL,KNAPP1,KNAPP10,KNAPP30,PERF
ALL,208,116.467578,54.792663,0.019182,4,229.1,128.019644,23.80041983,1.00E-06,1.7,101.10096,-0.003210263,4.251193836,0,-32.750095,0.011064246,2.659339577,1,106,-0.0134895,5.654960827,0,10.42619421,0.01806754,1.36E-06,1.04E-09,5.1
FRA,337,207.441838,105.8598524,0.054709,-4,328.2,232.580786,45.57345492,0.012598,-3.5,162.975669,0.008634778,12.98573015,0,-10.004741,0.105243763,8.228175218,0.890408,175,0.406165,18.34799924,0,6.53009316,0.05179963,0.005754856,2.01E-08,5.7
GER,193,88.864865,58.64988719,0.049237,9,288.7,177.893309,32.82667187,0.000106,-7,151.595031,-0.001083688,11.84391643,0,-12.593125,0.112024584,7.978917485,0.943697,159.5,-0.718802,15.97026339,0,6.05680253,0.04932042,0.000129663,1.50E-14,5
RUS,205,53.925389,45.72417827,0.001194,15,258.2,130.904132,35.34415041,0.000249,-0.6,109.292605,0.005051498,15.90823199,0,-25.561287,0.12852749,10.35677649,0.993548,68,0.355416,18.88535016,0.000106,8.02720373,0.001197645,0.000288162,0.00040559,11.1
ESP,299,202.372078,86.07319556,0.1144,1,376.2,280.027581,44.45588739,0.012266,-3.6,159.759413,0.020382878,16.47006928,0,-48.341949,0.18782736,10.62986535,0.999996,157,-0.0315215,22.08658352,0,8.61084665,0.1116357,0.0137795,0.001957651,2.6
POL,348,152.988367,85.81070359,0.004348,-11,309.4,204.511324,49.85779683,0.018788,3.1,46.015441,0.016197292,23.4880871,0.024649,15.536115,0.256469675,14.18647997,0.140875,0,-1.85598,31.67923183,0.512543,9.35692909,0.003917755,0.02973765,0.013701,8.5
IND,183,195.205089,107.018877,0.551753,18,264.9,363.948136,78.33268926,0.900424,1.2,-90.467826,-0.003671515,21.7252221,0.999965,-108.221156,0.696969741,21.64478628,1,-12,-0.3552665,21.62628586,0.716748,7.83086368,0.5511349,0.985312,0.9999878,4.2
IRI,90,158.760708,108.5083012,0.780666,2,357.5,344.18927,72.85042734,0.430479,-0.1,142.592137,-0.02195773,22.8002959,0,-12.216272,0.522389807,18.14011901,0.759119,158,0.402758,25.55412476,0,8.73414152,0.6902872,0.1682172,6.40E-11,6
GRE,401,119.666196,95.79316152,0.00198,-4,442.8,263.630618,55.99647958,0.000111,1.3,134.492161,-0.048026995,27.9531361,0,44.68004,0.316514717,16.0457883,0.002682,141.5,1.126728,39.34082708,0.000645,9.4212957,0.001607467,0.000459681,5.98E-07,9.1
CZE,419,223.018607,101.7019532,0.010564,1,384.8,307.951547,47.78188488,0.046567,5.8,57.934302,-0.027112605,21.07958589,0.003041,-30.824996,0.453000536,15.10786238,0.979728,52.5,0.75736,25.6200024,0.02631,12.5791923,0.01045258,0.309206,0.241821,3.3
HUN,333,210.951825,104.0748181,0.118487,-16,332.7,295.784222,51.39409483,0.239293,-6.5,31.176541,-0.048535773,27.66513659,0.129829,-21.858069,0.547340634,18.26369102,0.889507,2,-0.715725,34.95024189,0.469226,14.70873967,0.1188358,0.4273366,0.4550734,4.1
TUR,169,179.002361,125.9900612,0.503948,-11,447.5,391.812204,80.23257345,0.250975,-7.7,61.914768,0.017795871,29.54968754,0.016531,-4.688985,0.725356018,21.96770518,0.599577,84,0.5146265,44.13949062,0.027995,7.86820696,0.4728376,0.128585,0.2871195,6
BRA,381,131.849677,106.0726044,0.017854,12,488.1,298.11686,55.90325698,4.50E-05,9.9,162.844445,0.044041141,26.61709091,0,15.461237,0.546149892,18.70797265,0.21399,147,0.8763715,31.12959779,8.00E-06,13.84020369,0.01792073,2.59E-05,1.42E-07,7.6
SRB,256,134.091963,73.50378571,0.035964,-24,279.5,223.24577,39.16006546,0.071431,-4.1,69.167929,-0.024377918,22.91985407,0.001347,-30.248677,0.569093074,16.33709842,0.968452,54,0.815748,30.33891099,0.039402,16.68223906,0.03614739,0.08940147,0.007345914,4
ITA,237,231.307353,104.4389761,0.480109,-7,342.2,337.927584,52.80595381,0.475195,1.4,149.47173,0.008291171,29.76158272,0,-51.331129,0.613562763,19.10102429,0.996515,232,-0.487387,40.23073874,0,9.78232395,0.4675507,0.09620423,0.003069856,2.5
SRI,333,77.129258,72.07403869,7.00E-06,0,356.5,119.065126,44.31627741,0,12.5,108.488344,-0.011446536,30.97119822,0.000161,79.543178,0.354169348,17.97239929,4.00E-06,70.5,-2.7934965,38.7878603,0.031812,4.98718655,7.52E-06,9.93E-06,0.000368109,19.9
NED,388,266.657654,113.9265066,0.106164,-3,339.6,319.436874,49.05496623,0.350226,-0.5,133.562891,-0.016509733,27.34866573,1.00E-06,-89.533311,0.831476897,21.18111646,0.999988,114,0.4614925,29.88657005,0.000197,9.92553709,0.0995684,0.7171235,0.02239857,3.1
AUT,364,246.806588,101.5642935,0.099797,-6,326.9,265.377727,44.82736597,0.079411,11.9,146.535732,0.01247465,26.65434549,0,-57.853374,0.832116342,20.30906604,0.997335,158,0.493114,30.09294112,0,12.05009657,0.0998015,0.1079147,4.10E-07,3.5
UKR,131,57.815573,50.62060277,0.068159,23,279,186.759068,46.02927725,0.026048,4,74.752906,0.006026554,38.51885394,0.026332,-2.258642,0.719759027,23.27696166,0.550902,32,0.303273,54.22470502,0.29055,13.60451809,0.06803945,0.01230349,0.1811389,7.9
COL,292,77.18501,78.38693159,0.005018,-1,348.3,235.295612,54.37362368,0.016057,5.2,82.581809,0.020227833,31.9588071,0.004921,1.006343,0.795778052,22.78837963,0.498346,82.5,0.469026,37.01088107,0.013207,12.25846883,0.005047097,0.06125549,0.01857458,9.9
MEX,357,138.939474,97.77047096,0.003795,19,378.3,188.998582,50.60832096,7.00E-06,10.9,184.145249,-0.005092872,33.49127934,0,19.673141,0.810919625,23.24056108,0.210703,178.5,2.619168,34.90061676,1.80E-05,12.61719457,0.002410659,0.000142605,2.27E-06,12.8
SVK,251,214.51335,102.8672409,0.412481,-4,265.4,334.076021,51.57318056,0.907081,0.9,49.415437,0.001195362,32.73253753,0.065273,-78.67333,0.861010582,21.66777979,0.99986,105.5,-1.444705,42.42957941,0.005844,14.31952499,0.4127721,0.991525,0.03819031,2.6
CRO,401,180.84922,98.90522086,0.008403,-2,406.8,308.883622,51.58398317,0.026555,2.4,102.349049,0.035231701,30.97638814,0.000441,-29.541867,0.919065772,22.03601174,0.913753,86,0.587212,41.4748795,0.011048,15.52065217,0.007780992,0.1369867,0.008639876,3.8
CHN,137,39.520968,67.99327424,0.053262,2,231.7,84.58008,51.64156288,0.000792,4.4,61.606787,-0.075662244,54.83880379,0.131239,73.845711,0.493363934,29.10641732,0.006031,34,1.017736,79.60290719,0.366281,0.35785441,0.05251308,0.001383397,0.3044025,30.3
ROU,215,153.726365,86.79821278,0.264221,9,266.7,279.962927,67.79737884,0.565243,1.5,-107.341042,0.046608909,43.16000748,0.993316,-11.459192,0.967638517,27.35519546,0.673626,-174,-0.9088715,51.02998208,0.999536,7.40665233,0.2646165,0.8802112,0.9988902,6.1
BEL,319,218.640872,109.5186266,0.21284,21,494.6,359.777065,57.06570593,0.006602,7.4,175.02423,-0.022253239,36.64004078,0,-21.050504,0.978855379,24.15922396,0.819059,191,-0.379702,46.60980425,5.80E-05,6.77744137,0.2129031,0.009541566,4.69E-05,3.1
ENG,287,214.729842,123.0838392,0.286426,7,435.6,379.009789,62.8102676,0.184678,3.5,94.932982,-0.005877656,38.14968625,0.006429,-37.57501,1.175415422,26.72637222,0.924676,139,-0.7738705,48.24659801,0.003083,7.37432331,0.2864166,0.1260616,0.002918091,3.9
SWE,222,278.054345,111.1507861,0.715537,-30,402.5,368.086292,57.34282075,0.273667,-0.9,178.5481,0.004638828,39.77372764,3.00E-06,-82.658066,1.151151686,26.04388943,0.999256,205.5,0.7175785,50.60654929,2.40E-05,6.36220965,0.7153643,0.3606078,2.09E-06,2.2
CUB,264,100.991322,68.90955804,0.002855,6,317.1,163.855739,48.87017324,0.000826,0.3,78.691016,0.013040892,31.34080618,0.005759,50.359293,0.843972871,21.65204689,0.010346,64.5,-4.28143,43.66031714,0.035341,11.68553459,0.002940781,0.001636615,0.0225641,10.7
GEO,167,60.849423,87.4867033,0.040961,1,175.9,102.667481,51.39581981,0.079478,6.8,-167.206259,0.168597383,68.06184345,0.993401,134.160438,0.770483537,34.42579245,4.90E-05,-222,2.608988,95.25492913,0.989842,6.67238095,0.04061881,0.3034956,0.9923485,24.6
KAZ,141,144.759301,106.7390721,0.598011,7,282.2,251.17136,71.71609135,0.329564,1.2,11.955022,0.000421855,53.32690535,0.413547,-12.566078,1.072547088,31.10654289,0.667621,-53,6.4322065,85.57299975,0.735693,4.22015734,0.5974104,0.5477313,0.4972202,12
NOR,670,474.172101,177.5846708,0.088816,-12,498.5,495.224175,79.2848152,0.487549,-5.6,63.119169,-0.080680081,46.4561894,0.085703,-69.761242,1.492484261,31.7953945,0.986219,79.5,-2.005295,58.43787044,0.073469,10.57431556,0.08689888,0.716253,0.008828803,2.7
USA,400,284.370694,132.1226329,0.200656,-9,429.5,456.930069,71.828238,0.656233,-3.2,42.844895,0.026419841,45.71590145,0.174544,-54.424378,1.982001511,34.10840076,0.948926,102.5,5.6236015,55.76995456,0.045307,5.78939791,0.1950325,0.7184924,0.2120954,2.6
SUI,325,223.24671,108.900306,0.137859,27,395.7,351.559422,55.03508135,0.213482,5.1,166.097876,0.000380542,41.22133413,3.70E-05,-85.51372,1.390102819,27.65691068,0.998889,263.5,0.8810225,59.99647928,2.00E-06,4.60294118,0.1339231,0.1614769,3.77E-06,3.2
VIE,347,84.095981,155.8855882,0.004278,-4,251.5,98.53509,71.53243437,0.012606,0.8,88.588855,0.065908243,69.03438689,0.100646,47.878057,0.94081254,42.52805551,0.135722,90.5,5.738104,76.05265482,0.150953,6.23644578,0.004306983,0.05698161,0.6429191,32.5
ARG,296,208.671494,113.812482,0.224408,-2,406.6,424.29743,75.59138259,0.589158,-2.4,-57.900159,0.023038054,49.33304698,0.879244,-16.838943,1.694202643,32.80861626,0.712156,-135,4.249099,62.83634447,0.991203,9.64942138,0.2181952,0.8809259,0.8932497,2.6
LTU,-3,73.789541,82.99363626,0.977243,20,271.4,231.592494,70.37310868,0.287828,1.9,27.832329,-0.045497723,57.87351028,0.31604,28.156507,1.24550409,33.45236268,0.210998,21,-6.969723,75.40080547,0.425058,7.15845445,1,0.2337395,0.5305704,15.2
ISR,338,184.663845,105.0465397,0.094856,26,419.5,381.521939,70.62984436,0.295599,4.9,6.36349,0.041577489,52.62941424,0.452863,16.948939,1.695891476,33.92129234,0.328191,-37,1.5313455,72.73493717,0.677252,6.41729323,0.09469999,0.3252195,0.5205393,3.4
LAT,338,109.177559,110.9450627,0.015913,0,339.9,209.294272,71.74254988,0.032463,1.2,4.738265,0.077350579,63.10414478,0.469363,62.205709,1.392711639,38.90636737,0.059764,-84,-7.345219,78.65185434,0.810561,-0.06985933,0.01608293,0.2535784,0.7646006,17.8
DEN,440,298.448688,123.8140917,0.118347,-17,472,464.343825,61.08240609,0.454809,-4.3,48.276854,0.00210195,46.60120528,0.150634,-48.390438,1.630346494,30.26899723,0.949288,14,-2.641672,61.69191513,0.403254,12.22207002,0.1168187,0.7888915,0.0106476,1.4
PHI,388,96.258948,79.18307548,0.000644,11,389.2,216.896715,62.90744367,0.002834,11.2,178.326169,0.046882283,54.8496814,0.000513,14.835841,1.452622433,34.6365122,0.352921,196,1.416104,73.55318443,0.00256,14.85708899,0.000659004,0.02640233,0.1032214,14
CHI,529,221.807526,125.6524577,0.001827,-6,516.2,353.171596,67.54182069,0.008404,3.8,107.929229,-0.024910415,52.27626816,0.019104,27.648736,1.598486758,32.83739575,0.215057,64,1.259861,68.09700731,0.165279,5.89295113,0.001615625,0.1049928,0.05891416,5.4
SLO,330,192.111038,111.2958349,0.110787,11,352.8,305.736814,63.23515016,0.229492,11.3,-49.161553,-0.109505201,50.47320415,0.834065,52.46199,1.765258322,33.45450758,0.064266,-74.5,1.2404975,65.77873374,0.888286,12.0717803,0.111125,0.669573,0.7500686,6.4
BAN,413,239.380523,152.0955489,0.103904,-11,483.4,374.844604,64.93538095,0.028457,-2,214.954664,-0.029592105,43.71215778,0,-59.195928,2.063513386,32.84437101,0.965435,259,5.890926,57.16635075,2.00E-06,1.82717457,0.1038748,0.000590532,0.03166803,6.1
